# energy(eV) alpha
1.585890000000000022e+01 2.859144154350593453e+05
1.590629999999999988e+01 2.862217939910136047e+05
1.595379999999999932e+01 2.860121031289156526e+05
1.600130000000000052e+01 2.846760603570807143e+05
1.604879999999999995e+01 2.818911978316500317e+05
1.609629999999999939e+01 2.774788395732959616e+05
1.614379999999999882e+01 2.717540688430147711e+05
1.619119999999999848e+01 2.654194859852947411e+05
1.623870000000000147e+01 2.597897580401234736e+05
1.628620000000000090e+01 2.559680210907653964e+05
1.633370000000000033e+01 2.535994099866343604e+05
1.638119999999999976e+01 2.511026893447864859e+05
1.642859999999999943e+01 2.479665501221983286e+05
1.647609999999999886e+01 2.450597756744972430e+05
1.652359999999999829e+01 2.431163328750898654e+05
1.657110000000000127e+01 2.413842970697442943e+05
1.661860000000000070e+01 2.388544585476618959e+05
1.666610000000000014e+01 2.353529526415631117e+05
1.671349999999999980e+01 2.308260690197256336e+05
1.676099999999999923e+01 2.255931528844401764e+05
1.680849999999999866e+01 2.202236193071359594e+05
1.685600000000000165e+01 2.147840760652457539e+05
1.690350000000000108e+01 2.094153315212330781e+05
1.695090000000000074e+01 2.044887424768688215e+05
1.699840000000000018e+01 2.000799588419020874e+05
1.704589999999999961e+01 1.959092916054420639e+05
1.709339999999999904e+01 1.917837624607939506e+05
1.714089999999999847e+01 1.879946579751590325e+05
1.718840000000000146e+01 1.849333650502751116e+05
1.723580000000000112e+01 1.823429788512807281e+05
1.728330000000000055e+01 1.796590357554037182e+05
1.733079999999999998e+01 1.768050441762324190e+05
1.737829999999999941e+01 1.738071768655743217e+05
1.742579999999999885e+01 1.708927461633243365e+05
1.747319999999999851e+01 1.680519305318324186e+05
1.752070000000000149e+01 1.653071119132187741e+05
1.756820000000000093e+01 1.625054629546721117e+05
1.761570000000000036e+01 1.592961690617026470e+05
1.766319999999999979e+01 1.555994615965380508e+05
1.771059999999999945e+01 1.516710849427897774e+05
1.775809999999999889e+01 1.481314494150270184e+05
1.780559999999999832e+01 1.451131158986190276e+05
1.785310000000000130e+01 1.424143977359275741e+05
1.790060000000000073e+01 1.398086688431504008e+05
1.794810000000000016e+01 1.370011142298372288e+05
1.799549999999999983e+01 1.338464283271837921e+05
1.804299999999999926e+01 1.305535066224496259e+05
1.809049999999999869e+01 1.273579543145861244e+05
1.813800000000000168e+01 1.243870129743206053e+05
1.818550000000000111e+01 1.216646902577324654e+05
1.823290000000000077e+01 1.189608261621356942e+05
1.828040000000000020e+01 1.162430428152407840e+05
1.832789999999999964e+01 1.136933921636563609e+05
1.837539999999999907e+01 1.112465603963837930e+05
1.842289999999999850e+01 1.088823195805224386e+05
1.847040000000000148e+01 1.062733128967242810e+05
1.851780000000000115e+01 1.033217706395409332e+05
1.856530000000000058e+01 9.993659935290021531e+04
1.861280000000000001e+01 9.647890702100866474e+04
1.866029999999999944e+01 9.302109195453114808e+04
1.870779999999999887e+01 8.983528756567958044e+04
1.875519999999999854e+01 8.681250771648633236e+04
1.880270000000000152e+01 8.406663592254791001e+04
1.885020000000000095e+01 8.168142680716452014e+04
1.889770000000000039e+01 7.944263551515388826e+04
1.894519999999999982e+01 7.731772555192610889e+04
1.899269999999999925e+01 7.508760203075972095e+04
1.904009999999999891e+01 7.252049705319828354e+04
1.908759999999999835e+01 6.964350716557164560e+04
1.913510000000000133e+01 6.670858165605472459e+04
1.918260000000000076e+01 6.390162192793368740e+04
1.923010000000000019e+01 6.134028141423199122e+04
1.927749999999999986e+01 5.891940666666737525e+04
1.932499999999999929e+01 5.656451228333584731e+04
1.937249999999999872e+01 5.434838230445372028e+04
1.942000000000000171e+01 5.242687352324899985e+04
1.946750000000000114e+01 5.050432847926413524e+04
1.951500000000000057e+01 4.865383252547547454e+04
1.956240000000000023e+01 4.675741940650133620e+04
1.960989999999999966e+01 4.489415819732879027e+04
1.965739999999999910e+01 4.325059392808317352e+04
1.970489999999999853e+01 4.179414193895710196e+04
1.975240000000000151e+01 4.037095575143669703e+04
1.979980000000000118e+01 3.901879164414069237e+04
1.984730000000000061e+01 3.792860005012209149e+04
1.989480000000000004e+01 3.702709691409777588e+04
1.994229999999999947e+01 3.623991544470404187e+04
1.998979999999999890e+01 3.564139910870254243e+04
2.003719999999999857e+01 3.504546451286217052e+04
2.008470000000000155e+01 3.437487145534875890e+04
2.013220000000000098e+01 3.374031156909523997e+04
2.017970000000000041e+01 3.295482362173655565e+04
2.022719999999999985e+01 3.209050506087132453e+04
2.027469999999999928e+01 3.106966147534983975e+04
2.032209999999999894e+01 3.012017599989226801e+04
2.036959999999999837e+01 2.939647382715824278e+04
2.041710000000000136e+01 2.878889275632427234e+04
2.046460000000000079e+01 2.818124406585046017e+04
2.051210000000000022e+01 2.745848452109741629e+04
2.055949999999999989e+01 2.669629769093865252e+04
2.060699999999999932e+01 2.593045723066902792e+04
2.065449999999999875e+01 2.508554140825869763e+04
2.070200000000000173e+01 2.412154619492389611e+04
2.074950000000000117e+01 2.323045368982150103e+04
2.079700000000000060e+01 2.229730576085713983e+04
2.084440000000000026e+01 2.139929532923246370e+04
2.089189999999999969e+01 2.042173085532065670e+04
2.093939999999999912e+01 1.947852535873811576e+04
2.098689999999999856e+01 1.864910045835272831e+04
2.103440000000000154e+01 1.789511487656706595e+04
2.108180000000000121e+01 1.717949770415245803e+04
2.112930000000000064e+01 1.634379011158544927e+04
2.117680000000000007e+01 1.554438267046561850e+04
2.122429999999999950e+01 1.482029848799000320e+04
2.127179999999999893e+01 1.421231459883169919e+04
2.131929999999999836e+01 1.372174472165094630e+04
2.136670000000000158e+01 1.315173781077167951e+04
2.141420000000000101e+01 1.250158724120459192e+04
2.146170000000000044e+01 1.180949588763825341e+04
2.150919999999999987e+01 1.111595556500193015e+04
2.155669999999999931e+01 1.037967933349281338e+04
2.160409999999999897e+01 9.680311570128802487e+03
2.165159999999999840e+01 9.018804592745616901e+03
2.169910000000000139e+01 8.473881565054798557e+03
2.174660000000000082e+01 7.927739219461400353e+03
2.179410000000000025e+01 7.459886541959102942e+03
2.184159999999999968e+01 7.030762066928332388e+03
2.188899999999999935e+01 6.600119678624091648e+03
2.193649999999999878e+01 6.248546640000987281e+03
2.198400000000000176e+01 5.936174901021542610e+03
2.203150000000000119e+01 5.703303475294497730e+03
2.207900000000000063e+01 5.470202314938912423e+03
2.212640000000000029e+01 5.236529080124564643e+03
2.217389999999999972e+01 5.042112975095024922e+03
2.222139999999999915e+01 4.766768100280725776e+03
2.226889999999999858e+01 4.531122231746779107e+03
2.231640000000000157e+01 4.294635556785277913e+03
2.236380000000000123e+01 4.057437256782248824e+03
2.241130000000000067e+01 3.941433153307074917e+03
2.245880000000000010e+01 3.744081753769658008e+03
2.250629999999999953e+01 3.586664251011698525e+03
2.255379999999999896e+01 3.510382769679023568e+03
2.260129999999999839e+01 3.433981786645058037e+03
2.264870000000000161e+01 3.316265065544837853e+03
2.269620000000000104e+01 3.198454101319644906e+03
2.274370000000000047e+01 3.080081093142243390e+03
2.279119999999999990e+01 3.002542742521958189e+03
2.283869999999999933e+01 2.924815963241340796e+03
2.288609999999999900e+01 2.805532643251067839e+03
2.293359999999999843e+01 2.768556372449351784e+03
2.298110000000000142e+01 2.690059141265086055e+03
2.302860000000000085e+01 2.611055960400461117e+03
2.307610000000000028e+01 2.573623983570917972e+03
2.312359999999999971e+01 2.536044010238777901e+03
2.317099999999999937e+01 2.498333350557458743e+03
2.321849999999999881e+01 2.460498688632922040e+03
2.326599999999999824e+01 2.422613781916951211e+03
2.331350000000000122e+01 2.426418905022404942e+03
2.336100000000000065e+01 2.346472993189010140e+03
2.340840000000000032e+01 2.308170349006593824e+03
2.345589999999999975e+01 2.311812676652119535e+03
2.350339999999999918e+01 2.273333393386166335e+03
2.355089999999999861e+01 2.276978251931956947e+03
2.359840000000000160e+01 2.280546133976702095e+03
2.364590000000000103e+01 2.199638788086567274e+03
2.369330000000000069e+01 2.160749942819230910e+03
2.374080000000000013e+01 2.164152291246239656e+03
2.378829999999999956e+01 2.167633015176269964e+03
2.383579999999999899e+01 2.171111181235529784e+03
2.388329999999999842e+01 2.131923438387035731e+03
2.393070000000000164e+01 2.092493630544047846e+03
2.397820000000000107e+01 2.095828570982464043e+03
2.402570000000000050e+01 2.099155749107555039e+03
2.407319999999999993e+01 2.102524280673774228e+03
2.412069999999999936e+01 2.019904309334434629e+03
2.416819999999999879e+01 2.023132695876253592e+03
2.421559999999999846e+01 2.026419598516201631e+03
2.426310000000000144e+01 2.029679725867253865e+03
2.431060000000000088e+01 2.032901951336130196e+03
2.435810000000000031e+01 2.036157964079684461e+03
2.440559999999999974e+01 2.039444984414292094e+03
2.445299999999999940e+01 2.042727160820484414e+03
2.450049999999999883e+01 2.045688038419579243e+03
2.454799999999999827e+01 2.048974346056357263e+03
2.459550000000000125e+01 2.008608295265379638e+03
